user_id,action_type,time_stamp,dealer,coupon_code,dist_channel,item_name,item_price
224970131,partner_integration,2014-10-07,,NULL,NULL,,0
224340667,partner_integration,2014-10-08,,NULL,NULL,,0
225046537,partner_integration,2014-10-08,,NULL,NULL,,0
225046537,partner_integration,2014-10-08,,NULL,NULL,,0
219614121,partner_integration,2014-10-08,,NULL,NULL,,0
225038441,partner_integration,2014-10-10,,NULL,NULL,,0
225038441,partner_integration,2014-10-10,,NULL,NULL,,0
225048055,partner_integration,2014-10-11,,NULL,NULL,,0
225076391,email_sub,2014-10-11,,NULL,NULL,,0
221716551,partner_integration,2014-10-11,,NULL,NULL,,0
225048055,partner_integration,2014-10-11,,NULL,NULL,,0
224497527,partner_integration,2014-07-19,,NULL,NULL,,0
222281247,partner_integration,2013-07-30,,NULL,NULL,,0
219538221,partner_integration,2013-06-27,,NULL,NULL,,0
222220021,partner_integration,2013-06-17,,NULL,NULL,,0
224734841,partner_integration,2014-08-15,,NULL,NULL,,0
222220021,partner_integration,2013-06-17,,NULL,NULL,,0
222261007,partner_integration,2013-06-27,,NULL,NULL,,0
223445047,partner_integration,2014-04-06,,NULL,NULL,,0
219700647,partner_integration,2014-04-12,,NULL,NULL,,0
224603281,partner_integration,2014-07-18,,NULL,NULL,,0
219549353,partner_integration,2013-05-29,,NULL,NULL,,0
219032727,partner_integration,2013-03-30,,NULL,NULL,,0
224967601,partner_integration,2014-09-22,,NULL,NULL,,0
221835461,partner_integration,2013-02-26,,NULL,NULL,,0
224967601,partner_integration,2014-09-30,,NULL,NULL,,0
222589401,partner_integration,2014-07-13,,NULL,NULL,,0
222347027,partner_integration,2013-07-21,,NULL,NULL,,0
222276693,partner_integration,2013-06-30,,NULL,NULL,,0
223945987,partner_integration,2014-03-28,,NULL,NULL,,0
221163493,partner_integration,2014-07-10,,NULL,NULL,,0
222326787,partner_integration,2013-07-15,,NULL,NULL,,0
220980827,partner_integration,2014-07-28,,NULL,NULL,,0
223166747,partner_integration,2014-01-01,,NULL,NULL,,0
223895387,partner_integration,2014-03-20,,NULL,NULL,,0
222281247,partner_integration,2014-08-17,,NULL,NULL,,0
222018127,partner_integration,2013-06-12,,NULL,NULL,,0
221770187,partner_integration,2013-02-05,,NULL,NULL,,0
225038441,partner_integration,2014-10-04,,NULL,NULL,,0
224967601,partner_integration,2014-09-30,,NULL,NULL,,0
220510753,partner_integration,2013-06-01,,NULL,NULL,,0
221279873,partner_integration,2013-06-01,,NULL,NULL,,0
223849341,partner_integration,2014-03-11,,NULL,NULL,,0
219538221,partner_integration,2013-06-27,,NULL,NULL,,0
223293753,partner_integration,2013-12-25,,NULL,NULL,,0
224497527,partner_integration,2014-06-29,,NULL,NULL,,0
224967601,partner_integration,2014-09-22,,NULL,NULL,,0
224603281,partner_integration,2014-08-03,,NULL,NULL,,0
223768887,partner_integration,2014-02-26,,NULL,NULL,,0
220111013,partner_integration,2013-12-30,,NULL,NULL,,0
223753201,partner_integration,2014-02-20,,NULL,NULL,,0
222534247,partner_integration,2013-09-11,,NULL,NULL,,0
224967601,partner_integration,2014-09-23,,NULL,NULL,,0
222089473,partner_integration,2013-11-17,,NULL,NULL,,0
224340667,partner_integration,2014-06-06,,NULL,NULL,,0
225013141,partner_integration,2014-09-30,,NULL,NULL,,0
222246333,partner_integration,2013-06-26,,NULL,NULL,,0
223774453,partner_integration,2014-02-24,,NULL,NULL,,0
223445047,partner_integration,2014-02-22,,NULL,NULL,,0
