user_id,BaseStation,LaunchButton,StatusIndicatorSm,StatusIndicatorLg,StatusIndicatorMd,Dashboard,Alarm,DashboardMonitor,SignalAmplifier,SpyCamera,Remote,CouponCode1,CouponCode2,CouponCode3
218545449,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218565183,0,1,2,0,0,0,1,0,0,0,0,0,0,0
218566195,0,0,0,0,0,0,1,2,0,0,0,0,0,0
218567207,0,1,1,0,0,0,0,0,0,0,0,0,0,0
218568725,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218583399,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218583905,0,1,0,2,0,0,0,0,0,0,0,0,1,0
218586435,0,0,1,0,0,0,1,0,0,0,0,0,0,0
218590483,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218594025,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218600097,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218610723,0,1,0,0,0,0,1,1,1,0,0,0,0,0
218613253,0,1,0,1,2,0,0,0,0,0,0,0,0,0
218620337,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218632987,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218633493,0,0,3,0,0,0,0,1,0,0,0,0,0,0
218638047,0,1,0,0,0,0,1,0,0,0,0,0,0,0
218639565,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218644625,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218645637,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218649179,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218661829,0,1,2,0,1,0,0,0,0,0,0,0,0,0
218670937,0,1,0,2,2,0,0,1,0,0,0,0,0,0
218674479,0,0,2,1,0,0,1,0,0,0,0,0,0,0
218676503,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218681057,0,1,2,0,0,0,1,0,0,0,0,0,0,0
218751897,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218758475,0,1,1,0,2,0,0,0,0,0,0,0,0,0
218762523,0,2,2,0,0,0,2,0,1,0,0,0,0,0
218763029,0,0,5,0,0,0,0,0,0,0,0,0,0,0
218770113,0,0,0,0,1,0,0,0,0,0,0,0,0,0
218773149,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218786305,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218786811,0,2,2,2,2,0,0,0,0,1,0,0,0,0
218795919,0,0,1,0,1,0,0,0,0,0,0,0,0,0
218807051,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218817677,0,1,0,0,0,1,0,7,0,0,0,0,0,0
218831845,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218835387,0,0,0,0,1,0,0,1,0,0,0,0,0,0
218835893,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218837917,0,1,0,0,1,0,0,0,0,0,0,0,0,0
218862205,0,0,0,1,2,0,0,0,0,0,0,0,0,0
218873337,0,1,0,2,0,0,0,0,0,0,0,0,0,0
218880421,0,0,1,0,0,0,1,0,0,0,0,0,0,0
218882445,0,0,2,0,0,0,0,0,0,1,0,0,0,0
218892059,0,0,0,0,0,1,0,0,1,0,0,0,0,0
218892565,0,0,1,0,2,0,0,0,0,0,0,0,0,0
218905215,0,0,4,0,0,0,0,0,1,0,0,0,0,0
218907745,0,0,0,0,2,0,0,0,0,0,0,0,0,0
218912299,0,0,0,0,0,5,0,8,0,0,0,0,0,0
218912805,0,0,0,0,0,0,0,3,0,0,0,0,0,0
218913817,0,0,2,0,0,0,0,0,0,0,0,0,0,0
218917359,0,0,0,0,0,7,0,0,0,0,0,0,0,0
218918371,0,0,2,0,2,0,0,0,0,0,0,0,0,0
218931527,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218942153,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218944177,0,0,0,1,1,1,0,0,0,0,0,0,0,0
218949743,0,0,2,0,0,0,0,0,0,0,0,0,0,0
218953285,0,0,0,0,1,0,0,0,0,0,0,0,0,0
218960875,0,0,1,1,1,0,0,0,1,0,0,0,0,0
218964923,0,0,1,0,0,0,0,1,0,0,0,0,0,0
218966947,0,1,0,0,0,1,0,2,0,0,0,0,0,0
218973019,0,1,9,0,0,0,0,1,0,0,0,0,0,0
218994271,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219002367,0,0,2,0,0,0,0,0,0,0,0,0,0,0
219003379,0,1,0,0,1,0,1,0,0,0,0,0,0,0
219012993,0,1,2,0,0,0,1,0,0,0,0,0,0,0
219019571,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219026149,0,1,1,0,0,0,0,0,0,0,0,0,0,0
219027161,0,0,0,0,0,1,0,1,0,0,0,0,0,0
219033739,0,0,0,0,2,0,0,0,1,0,0,0,0,0
219035257,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219039305,0,1,0,0,0,0,1,0,0,0,0,0,0,0
219070677,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219072195,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219088387,0,0,2,1,0,0,0,0,0,0,0,0,0,0
219091929,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219095471,0,0,0,1,0,0,2,0,1,0,0,0,0,0
219101037,0,0,1,0,0,1,0,1,1,0,0,0,0,0
219105085,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219107615,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219108121,0,0,1,0,0,0,0,0,1,0,0,0,0,0
219126337,0,1,1,0,0,0,0,0,0,0,0,0,0,0
219126843,0,0,6,0,2,5,1,2,0,0,0,0,0,0
219134433,0,0,0,0,0,1,0,0,0,0,0,0,0,0
219138987,0,1,1,0,0,1,0,1,0,0,0,0,0,0
219141011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219148095,0,0,2,0,0,0,0,0,0,0,0,0,0,0
219148601,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219164287,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219178961,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219183515,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219188575,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219192117,0,0,0,0,0,1,0,0,0,0,0,0,0,0
219202237,0,1,2,0,0,0,1,0,0,0,0,0,0,0
219207803,0,0,1,2,1,1,0,0,1,0,0,0,0,0
219211345,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219232597,0,0,0,0,0,0,0,2,1,0,0,0,0,0
219246765,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219254861,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219255367,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219256885,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219258909,0,0,2,0,0,0,0,0,0,0,0,0,0,1
219265487,0,0,0,0,0,1,0,0,0,0,0,0,0,0
219266499,0,1,2,0,1,0,1,0,1,0,0,0,0,0
219279655,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219283703,0,0,0,1,1,0,0,0,0,1,0,0,0,0
